id;order_id;user_id;customer_id;total_price;vat;payment_date;status
1;3959;58146;18362;70637;9945;2022-08-21;Berkshire Brazil teal
2;99766;15951;51162;18094;4038;2022-08-21;optimize
3;55621;77119;75064;58686;30310;2022-08-21;deposit Car
4;15115;85760;84496;51068;84882;2022-08-20;Incredible solid
5;38056;74209;72229;86810;99243;2022-08-20;withdrawal
6;14821;95809;21609;64382;41106;2022-08-20;BEAC Arkansas Producer
7;75621;74393;71131;17040;82603;2022-08-20;JBOD generate capacity
8;6690;83341;45084;48990;69925;2022-08-21;maroon
9;5453;41574;90114;44775;21313;2022-08-20;protocol Kwanza analyzing
10;69583;60507;29451;23943;77409;2022-08-20;THX Pizza
