id;name;price;quantity;category_id;brand;image_url;status;discount;discount_start_date;discount_end_date
1;Steel;31485;98311;82284;South support navigate;Chilean reboot Dynamic;true;46955;2022-08-20;2022-08-20
2;Car;44573;6255;13165;Card;navigating Michigan;false;94707;2022-08-21;2022-08-21
3;transmitting New Bedfordshire;60561;70316;51217;intranet;neutral;false;16473;2022-08-21;2022-08-21
4;Computer CFP orange;9548;46269;94963;Identity Dynamic Sports;Mexico yellow Cape;false;52784;2022-08-21;2022-08-21
5;Crossroad CSS;15521;22423;16073;Tunnel;Intelligent;true;71810;2022-08-20;2022-08-21
6;Account;68319;16934;78950;Consultant online;project hacking efficient;true;80217;2022-08-20;2022-08-21
7;AGP lavender;71562;77577;35940;brand;Automotive systems Gorgeous;false;93852;2022-08-21;2022-08-21
8;Plastic Cambridgeshire;16025;2730;91979;Ukraine;Chicken Account transmit;false;34414;2022-08-21;2022-08-20
9;IB;52857;55509;1215;Rustic magenta transitional;bypassing Chief interactive;true;80985;2022-08-21;2022-08-20
10;Checking Coordinator;17748;91872;31243;invoice;CFA;false;67453;2022-08-21;2022-08-21
